Id,Date,Open,High,Low,Close,Volume
46,3/17/2014,79.02,79.95,79.02,79.84,8452219
47,3/18/2014,79.84,80.08,79.51,79.77,7703150
48,3/19/2014,79.68,79.91,78.51,78.78,8607176
49,3/20/2014,78.7,78.93,78.15,78.32,8659509
50,3/21/2014,79.04,79.75,77.88,77.88,21250203
51,3/24/2014,78.5,79.83,78.47,79.3,11221570
52,3/25/2014,79.52,79.99,79.44,79.81,8892450
53,3/26/2014,80.03,80.18,79.33,79.5,8270011
54,3/27/2014,79.55,80.43,79.38,79.65,8134097
55,3/28/2014,79.94,80.32,79.52,79.76,6413509
56,3/31/2014,80,80.83,79.55,80.6,8493091
57,4/1/2014,80.6,80.84,80.21,80.34,8222389
58,4/2/2014,80.19,80.33,79.8,80.13,6741754
59,4/3/2014,80.28,80.58,79.93,80.1,5647193
60,4/4/2014,80.47,80.56,79.75,79.77,8649667
61,4/7/2014,80.02,81.07,79.93,80.49,13228988
62,4/8/2014,80.51,81.38,80.02,81.35,11886367
63,4/9/2014,81.8,82.24,81.32,81.49,11555284
64,4/10/2014,81.58,82.13,80.89,81.09,12202694
65,4/11/2014,80.98,81.66,80.5,80.76,11831591
66,4/14/2014,81,81.2,80.51,80.81,7105587
67,4/15/2014,80.79,81.09,80.52,80.84,9007674
68,4/16/2014,81.28,81.88,81.03,81.65,8301006
69,4/17/2014,81.47,81.89,81.34,81.76,8374713
70,4/21/2014,81.81,81.81,81.29,81.56,6395150
71,4/22/2014,81.54,81.67,81.15,81.25,9260267
72,4/23/2014,80.72,80.72,79.38,80.36,9580599
73,4/24/2014,80.26,81.38,80.01,81.15,9528562
74,4/25/2014,81.2,81.58,80.97,81.41,7497404
75,4/28/2014,81.54,82.98,81.51,82.94,11595127
76,4/29/2014,82.75,82.95,82.36,82.44,7214281
77,4/30/2014,82.39,82.75,82.24,82.55,6253243
78,5/1/2014,82.39,82.47,81.76,82.34,5312492
79,5/2/2014,82.22,82.6,81.75,81.92,6629371
80,5/5/2014,81.64,81.88,81.47,81.7,4563610
81,5/6/2014,81.76,81.76,81.12,81.13,4591267
82,5/7/2014,81.45,82.14,81.42,82.09,6639614
83,5/8/2014,82.06,82.32,81.82,82.16,4631207
84,5/9/2014,82.2,82.8,82.14,82.39,7303502
85,5/12/2014,82.61,82.71,81.71,81.73,7859053
86,5/13/2014,81.94,81.98,81.42,81.61,6540218
87,5/14/2014,81.74,81.91,81.12,81.17,6872657
88,5/15/2014,81.25,81.37,80.44,80.53,9402103
89,5/16/2014,80.63,80.76,80,80.33,11559255
90,5/19/2014,80.01,80.05,79.54,79.93,6073538
91,5/20/2014,80.02,80.58,79.97,80.23,7057232
92,5/21/2014,80.34,80.67,80.02,80.49,6339794
93,5/22/2014,80.37,80.67,80.05,80.65,5561257
94,5/23/2014,80.51,80.85,80.4,80.52,4472635
95,5/27/2014,80.55,80.58,80.05,80.08,7004714
96,5/28/2014,80.03,80.28,80.02,80.1,4201377
97,5/29/2014,80.1,80.4,80.08,80.4,3886779
98,5/30/2014,80.25,80.85,80.17,80.79,7432199
99,6/2/2014,80.66,80.67,80.29,80.36,4331701
100,6/3/2014,80.04,80.3,79.6,79.93,6970914
101,6/4/2014,80,80.22,79.64,79.86,5427687
102,6/5/2014,80.11,80.31,79.97,80.11,5788203
103,6/6/2014,80.09,80.24,79.82,80.03,5521710
104,6/9/2014,79.91,80.24,79.85,80.09,6352506
105,6/10/2014,80.03,80.3,80,80.15,5658366
106,6/11/2014,80.05,80.3,79.88,80.06,7453733
107,6/12/2014,79.82,80.03,79.69,79.76,6526949
108,6/13/2014,79.73,79.94,79.5,79.64,5214278
109,6/16/2014,79.52,79.94,79.11,79.69,5334617
110,6/17/2014,79.61,79.79,79.35,79.58,5337668
111,6/18/2014,79.44,79.94,79.13,79.79,9618007
112,6/19/2014,79.85,80.57,79.8,80.24,12493024
113,6/20/2014,80.44,80.5,79.82,79.93,11664486
114,6/23/2014,80.06,80.06,79.36,79.52,6947701
115,6/24/2014,79.42,79.44,78.92,79.01,8157305
116,6/25/2014,79.04,79.36,78.65,79.32,12569262
117,6/26/2014,79.24,79.29,78.59,78.62,7262067
118,6/27/2014,78.6,79.19,78.52,79.02,8975304
119,6/30/2014,79.01,79.46,78.43,78.59,10303230
120,7/1/2014,78.87,79.41,78.5,79.28,8426276
121,7/2/2014,79.56,79.86,79.44,79.56,6282586
122,7/3/2014,79.93,80.14,79.64,79.98,5501056
123,7/7/2014,79.75,80.2,79.66,80.19,6674885
124,7/8/2014,80.03,80.85,79.91,80.56,9150185
125,7/9/2014,80.66,81.8,80.5,81.67,12120399
126,7/10/2014,81.27,81.91,81.19,81.61,8786489
127,7/11/2014,81.06,81.57,81,81.16,7519293
128,7/14/2014,81.36,81.74,81.3,81.32,6806097
129,7/15/2014,81.51,81.52,81.09,81.26,9638650
130,7/16/2014,80.9,81.2,80.75,80.94,8946279
131,7/17/2014,80.99,81.22,80.39,80.4,5853408
132,7/18/2014,80.55,80.75,80.16,80.55,6507017
133,7/21/2014,80.33,80.4,79.95,80.28,4439218
134,7/22/2014,80.29,80.58,79.77,80.1,6073192
135,7/23/2014,80.33,80.5,79.82,79.99,5891317
136,7/24/2014,80.12,80.32,79.85,80.26,6273126
137,7/25/2014,80.02,80.16,79.37,79.56,6293364
138,7/28/2014,79.41,79.62,78.85,79.26,6757259
139,7/29/2014,79.09,79.5,78.65,78.65,6425591
140,7/30/2014,78.7,79.01,78.14,78.16,8296537
141,7/31/2014,77.76,78.01,77.29,77.32,11239379
142,8/1/2014,79.25,80.67,78.83,79.65,18110864
143,8/4/2014,79.46,79.46,78.66,79.22,12075293
144,8/5/2014,78.99,79.74,78.98,79.41,7995884
